Type,Key Number,Title,KeyCite Treatment,KeyCite URL,Document URL,Court,Date,Citation,Headnote,Document Preview
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=474&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=474&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F51993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"Possible tests to determine in federal employment discrimination cases if parent corporation is liable for acts of its subsidiary include: (1) agency theory under which plaintiff must establish that parent corporation exercised significant degree of control over subsidiary's decision making; (2) alter ego test which is founded in equity and permits court to pierce corporate veil; (3) instrumentality test under which plaintiff must establish that parent exercises extensive control over subsidiary's acts giving rise to claim of wrongdoing; and (4) integrated enterprise test which examines interrelation of operations, centralized control of labor relations, and common management and ownership or financial control.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=475&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=475&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F71993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent telephone corporation was liable for subsidiary's acts under integrated enterprise test, fact that chain of command over employees alleging discrimination crossed subsidiary lines and led ultimately to president of parent corporation was not enough to show interrelation of operations.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=476&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=476&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F81993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent corporation was liable for subsidiary's acts under integrated enterprise test, merely because parent corporation eventually benefits from work of its subsidiaries is not evidence of interrelated operations nor is fact that one of parent's employees is occasional consultant on project involving subsidiaries.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=477&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=477&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F91993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent corporation was liable for subsidiary's acts under integrated enterprise test which examines whether parent controls labor relations, critical question is what entity made final decisions regarding employment matters to person claiming discrimination.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=478&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=478&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F101993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent corporation was liable for subsidiary's acts under integrated enterprise test which examines whether parent controls labor relations, parent's broad general policy statements regarding employment matters are not enough to satisfy the control prong; rather, parent must control day-to-day employment decisions of the subsidiary.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=479&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=479&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F111993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent telephone corporation was liable for subsidiary's acts under integrated enterprise test which examines whether parent controls labor relations, fact that parent served as ERISA plan administrator for subsidiary did not establish that parent had excessive control over subsidiary's employment practices. Employee Retirement Income Security Act of 1974, §§ 2–4402, as amended, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=29USCAS1001&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">29 U.S.C.A. §§ 1001</a>–<a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=29USCAS1461&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">1461</a>.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=480&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=480&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F121993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent telephone corporation was liable for subsidiary's acts under integrated enterprise test which examines common management, one common manager, who managed marketing operations for three subsidiaries, was insufficient to establish common management.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=481&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=481&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F131993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"For purposes of determining in federal employment discrimination case whether parent corporation was liable for subsidiary's acts under integrated enterprise test which examines common ownership, fact that parent was sole shareholder of subsidiary could not, standing alone, establish parent liability.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Frank v. U.S. West, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id7bdd40596fb11d9bdd1cfdd544ca3a4&rank=482&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id7bdd40596fb11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=482&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F151993166335,"United States Court of Appeals, Tenth Circuit.","August 24, 1993",3 F.3d 1357,"Under Colorado law, parent telephone corporation was not liable for subsidiary's acts which gave rise to employment discrimination claim where there was no evidence that subsidiary was undercapitalized, that the corporations commingled assets, or that they ignored corporate formalities.","Employees of telephone company's subsidiaries brought action against parent telephone corporation, alleging employment discrimination based on age and national origin.  The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Hollingshead v. Burford Equipment Co.,,,https://www.westlaw.com/Document/I71dd6a89560d11d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=483&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F11993158223,"United States District Court, M.D. Alabama, Northern Division.","July 2, 1993",828 F.Supp. 916,"Parent corporation exercised sufficient control over subsidiary and sufficiently misused that control to be held liable for subsidiary's ERISA obligations; parent paid salaries and expenses of subsidiary, funds were shifted between the two companies at discretion of parent's management, corporate formalities were not observed, and subsidiary's management was aware of its ERISA obligations at time parent was incorporated. Employee Retirement Income Security Act of 1974, § 2 et seq., <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=29USCAS1001&originatingDoc=I1125391041d011e08ac6a0e111d7a898&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">29 U.S.C.A. § 1001 et seq.</a>",Former employees brought action against employer and its parent corporation under Employee Retirement Income Security Act (ERISA).  After determining that employer was liable under...
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Talkington v. Anchor Gasoline Corp.,,,https://www.westlaw.com/Document/Id25be2d1560611d9bf30d7fdf51b6bd4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=484&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F91993110107,"United States District Court, M.D. Tennessee, Northeastern Division.","May 20, 1993",821 F.Supp. 505,"Under Tennessee law, subsidiary corporation which employed plaintiff was mere instrumentality of parent corporation, justifying piercing of corporate veil, in suit by former employee to enforce oral promise to provide deferred compensation where parent provided all financing to keep subsidiary in existence, both corporations had interlocking directories and officers, parent provided all legal and accounting services, parent filed consolidated tax returns, parent decided to close subsidiary, parent failed to follow corporate formalities, and parent availed itself of benefit of employee's services.",Former employee brought suit based on alleged oral promise of employer's president to provide deferred compensation in lieu of company's standard retirement plan. The United States District...
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Hess v. L.G. Balfour Co., Inc.",,,https://www.westlaw.com/Document/I32cec8cd560811d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=485&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F51993114446,"United States District Court, D. Connecticut.","May 17, 1993",822 F.Supp. 84,"Under Connecticut law, fact that employer owned its own land, paid its own taxes, had its own employees and manufacturing facility, used its own designers and artists, issued its own invoices, and kept its own bank accounts, precluded piercing of corporate veil under instrumentality test by Connecticut lawsuit for alleged breach of contract, failure to pay wages, and constructive discharge, even if parent corporation exercised high degree of control over employer.","Former employee brought suit against employer and its parent corporation alleging breach of contract, failure to pay wages, unlawful deductions from wages, conversion, and constructive..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,E.E.O.C. v. MCI Telecommunications Corp.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id2669137560611d9bf30d7fdf51b6bd4&rank=486&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Id2669137560611d9bf30d7fdf51b6bd4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=486&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F11993105735,"United States District Court, S.D. Texas, Houston Division.","May 3, 1993",820 F.Supp. 300,"In determining whether parent company will be held liable under Title VII for actions of its subsidiary, court considers interrelationship of operations, centralized control of labor relations (most important factor), common management, and common ownership or financial control. Civil Rights Act of 1964, § 701(b), 42 U.S.C.A. § 2000e(b).","Equal Employment Opportunity Commission (EEOC) brought employment discrimination case under Title VII, alleging that employer and its parent corporation retaliated against employee by..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,"Allen v. Oberdorfer Foundries, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I7cb88cc2da1811d983e7e9deff98dc6f&rank=487&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I7cb88cc2da1811d983e7e9deff98dc6f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=487&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F11993086179,"Supreme Court, Appellate Division, Fourth Department, New York.","April 14, 1993",192 A.D.2d 1077,"Although parent corporation may be deemed to be employer of employee of subsidiary corporation for workers' compensation purposes if subsidiary functions merely as alter ego of parent, in order for corporations to be considered alter egos, there must be direct intervention by parent in management of subsidiary to such extent that subsidiary's paraphernalia of incorporation, directors, and officers are completely ignored, and parent corporation must exercise complete domination and control of subsidiary's everyday operations.",Parent Liability. Parent corporation would not be deemed to be employer of subsidiary's worker.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Tatum v. Philip Morris Inc.,,,https://www.westlaw.com/Document/I8a609d0255fb11d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=488&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F351992222201,"United States District Court, W.D. Oklahoma.","December 10, 1992",809 F.Supp. 1452,"Cause of action did not lie against employer's sister corporation based on employer's discharge of employee, allegedly due to his gender, and former supervisor's actions in telling prospective employers that employee had been discharged for stealing property and for insubordination, where there was no indication that any employee of sister corporation was involved in decision to terminate employee or in supervisor's posttermination conduct, and employer and sister corporation, although subsidiaries of same parent, were entirely separate corporations.","Former employee filed action against former employer, former supervisor, former employer's managers and executives, and former employer's sister corporation alleging employment..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,In re Sullivan Sales Corp.,,,https://www.westlaw.com/Document/If71d1ec26e9a11d99d4cc295ca35b55b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=489&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F31992188290,"United States Bankruptcy Court, W.D. New York.","October 9, 1992",146 B.R. 623,"Employees of parent corporation's wholly owned subsidiary could not rely on alter-ego theory in order to establish wage claim against parent, where parent was not shell but preexisting corporation to which subsidiary's former shareholders had sold their stock; following sale, parent proceeded to install its own board of directors and officers but maintained separate corporate formalities required of subsidiary.",ADMINISTRATIVE EXPENSES. priority of benefit claims had to be determined based on when benefits were earned in relation to cessation of subsidiary's business operations.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Miller v. Bristol-Myers Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3cb39b85ff5f11d983e7e9deff98dc6f&rank=490&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I3cb39b85ff5f11d983e7e9deff98dc6f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=490&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F61992112526,Supreme Court of Wisconsin.,"June 17, 1992",168 Wis.2d 863,Parent corporation assumes duty of care to employees of its subsidiary where it is found that parent undertook to render services to subsidiary which parent should have recognized were necessary for protection of subsidiary's employees.,Corporate subsidiary's employee brought action against parent corporation for personal injuries arising out of fire which occurred in materials preparation room of subsidiary's facility....
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Miller v. Bristol-Myers Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3cb39b85ff5f11d983e7e9deff98dc6f&rank=491&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I3cb39b85ff5f11d983e7e9deff98dc6f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=491&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F71992112526,Supreme Court of Wisconsin.,"June 17, 1992",168 Wis.2d 863,"In determining whether parent corporation has assumed duty of care to employees of its subsidiary, question is not whether parent intended to primarily benefit itself but, rather, question is whether parent rendered service to subsidiary.",Corporate subsidiary's employee brought action against parent corporation for personal injuries arising out of fire which occurred in materials preparation room of subsidiary's facility....
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1064 Labor and employment liabilities and violations >,Miller v. Bristol-Myers Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3cb39b85ff5f11d983e7e9deff98dc6f&rank=492&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I3cb39b85ff5f11d983e7e9deff98dc6f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=492&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F81992112526,Supreme Court of Wisconsin.,"June 17, 1992",168 Wis.2d 863,"Once parent corporation assumes duty of care to its subsidiary's employees, parent is liable to employee if parent failed to exercise reasonable care to perform its undertaking and: parent's failure to exercise reasonable care increased risk of harm to employee and such increase was cause of employee's injuries; parent failed to exercise reasonable care in performing assumed duty and such unreasonable performance was cause of employee's injuries; or subsidiary or employee relied upon parent's undertaking such that they lessened, omitted, neglected or otherwise altered their safety-related practices and such alteration was cause of employee's injuries.",Corporate subsidiary's employee brought action against parent corporation for personal injuries arising out of fire which occurred in materials preparation room of subsidiary's facility....
